Heartbeat,MACsrc,APPID,GOOSElength,gocbRef,Dif_St,Dif_Sq,num of data,data_Dec,Label
1.00081,23,1,147,1111,0,1,4,5,0
1.00053,32,2,147,1121,0,1,4,9,0
1.00041,99,4,142,1231,0,1,5,0,0
1.00005,11,3,152,1131,0,1,7,1,0
1.0006,23,1,147,1111,0,1,4,5,0
1.00074,32,2,147,1121,0,1,4,9,0
1.00065,99,4,142,1231,0,1,5,0,0
1.00039,11,3,152,1131,0,1,7,1,0
1.00088,23,1,147,1111,0,1,4,5,0
1.0009,32,2,147,1121,0,1,4,9,0
1.00054,99,4,142,1231,0,1,5,0,0
1.00044,11,3,152,1131,0,1,7,1,0
1.00044,23,1,147,1111,0,1,4,5,0
1.00104,32,2,147,1121,0,1,4,9,0
1.00038,99,4,142,1231,0,1,5,0,0
1.00111,11,3,152,1131,0,1,7,1,0
1.00104,23,1,147,1111,0,1,4,5,0
1.00058,32,2,147,1121,0,1,4,9,0
1.00048,99,4,142,1231,0,1,5,0,0
1.00041,11,3,152,1131,0,1,7,1,0
1.00039,23,1,147,1111,0,1,4,5,0
1.00027,32,2,147,1121,0,1,4,9,0
1.00037,99,4,142,1231,0,1,5,0,0
1.0004,11,3,152,1131,0,1,7,1,0
1.00035,23,1,147,1111,0,1,4,5,0
1.00037,32,2,147,1121,0,1,4,9,0
1.00044,99,4,142,1231,0,1,5,0,0
1.00035,11,3,152,1131,0,1,7,1,0
1.00039,23,1,147,1111,0,1,4,5,0
1.00125,32,2,147,1121,0,1,4,9,0
1.00045,99,4,142,1231,0,1,5,0,0
1.00034,11,3,152,1131,0,1,7,1,0
1.00024,23,1,147,1111,0,1,4,5,0
0.99956,32,2,147,1121,0,1,4,9,0
1.00081,99,4,142,1231,0,1,5,0,0
1.00053,11,3,152,1131,0,1,7,1,0
1.00025,23,1,147,1111,0,1,4,5,0
1.00036,32,2,147,1121,0,1,4,9,0
1.00042,99,4,142,1231,0,1,5,0,0
1.00035,11,3,152,1131,0,1,7,1,0
1.00032,23,1,147,1111,0,1,4,5,0
1.00101,32,2,147,1121,0,1,4,9,0
1.0011,99,4,142,1231,0,1,5,0,0
1.0005,11,3,152,1131,0,1,7,1,0
1.00034,23,1,147,1111,0,1,4,5,0
1.00034,32,2,147,1121,0,1,4,9,0
1.00026,99,4,142,1231,0,1,5,0,0
1.00081,11,3,152,1131,0,1,7,1,0
1.00051,23,1,147,1111,0,1,4,5,0
1.00046,32,2,147,1121,0,1,4,9,0
1.00038,99,4,142,1231,0,1,5,0,0
1.00045,11,3,152,1131,0,1,7,1,0
1.00038,23,1,147,1111,0,1,4,5,0
1.00029,32,2,147,1121,0,1,4,9,0
1.00031,99,4,142,1231,0,1,5,0,0
1.00039,11,3,152,1131,0,1,7,1,0
1.00078,23,1,147,1111,0,1,4,5,0
1.00036,32,2,147,1121,0,1,4,9,0
1.00048,99,4,142,1231,0,1,5,0,0
1.00048,11,3,152,1131,0,1,7,1,0
1.00102,23,1,147,1111,0,1,4,5,0
1.00056,32,2,147,1121,0,1,4,9,0
1.00043,99,4,142,1231,0,1,5,0,0
1.00042,11,3,152,1131,0,1,7,1,0
1.002,23,1,147,1111,0,1,4,5,0
1.00049,32,2,147,1121,0,1,4,9,0
1.00041,99,4,142,1231,0,1,5,0,0
1.00032,11,3,152,1131,0,1,7,1,0
1.00048,23,1,147,1111,0,1,4,5,0
1.00045,32,2,147,1121,0,1,4,9,0
1.00051,99,4,142,1231,0,1,5,0,0
1.00036,11,3,152,1131,0,1,7,1,0
1.0004,23,1,147,1111,0,1,4,5,0
1.00085,32,2,147,1121,0,1,4,9,0
1.00095,99,4,142,1231,0,1,5,0,0
1.00064,11,3,152,1131,0,1,7,1,0
1.0003,23,1,147,1111,0,1,4,5,0
1.00038,32,2,147,1121,0,1,4,9,0
1.00041,99,4,142,1231,0,1,5,0,0
1.00081,11,3,152,1131,0,1,7,1,0
1.00043,23,1,147,1111,0,1,4,5,0
1.00041,32,2,147,1121,0,1,4,9,0
1.00038,99,4,142,1231,0,1,5,0,0
1.00055,11,3,152,1131,0,1,7,1,0
1.00038,23,1,147,1111,0,1,4,5,0
1.00052,32,2,147,1121,0,1,4,9,0
1.00048,99,4,142,1231,0,1,5,0,0
1.00037,11,3,152,1131,0,1,7,1,0
1.0005,23,1,147,1111,0,1,4,5,0
1.00031,32,2,147,1121,0,1,4,9,0
1.00037,99,4,142,1231,0,1,5,0,0
1.00027,11,3,152,1131,0,1,7,1,0
1.00019,23,1,147,1111,0,1,4,5,0
1.00046,32,2,147,1121,0,1,4,9,0
1.00082,99,4,142,1231,0,1,5,0,0
1.00047,11,3,152,1131,0,1,7,1,0
1.00102,23,1,147,1111,0,1,4,5,0
1.00037,32,2,147,1121,0,1,4,9,0
0.99985,99,4,142,1231,0,1,5,0,0
1.00112,11,3,152,1131,0,1,7,1,0
1.00054,23,1,147,1111,0,1,4,5,0
1.00052,32,2,147,1121,0,1,4,9,0
1.00019,99,4,142,1231,0,1,5,0,0
1.00077,11,3,152,1131,0,1,7,1,0
1.00077,23,1,147,1111,0,1,4,5,0
1.00036,32,2,147,1121,0,1,4,9,0
1.00075,99,4,142,1231,0,1,5,0,0
1.00032,11,3,152,1131,0,1,7,1,0
1.00042,23,1,147,1111,0,1,4,5,0
1.00086,32,2,147,1121,0,1,4,9,0
1.0008,99,4,142,1231,0,1,5,0,0
1.0004,11,3,152,1131,0,1,7,1,0
1.00041,23,1,147,1111,0,1,4,5,0
0.99983,32,2,147,1121,0,1,4,9,0
1.0009,99,4,142,1231,0,1,5,0,0
1.00039,11,3,152,1131,0,1,7,1,0
1.0006,23,1,148,1111,0,1,4,5,0
1.00168,32,2,147,1121,0,1,4,9,0
0.99958,99,4,142,1231,0,1,5,0,0
1.00031,11,3,152,1131,0,1,7,1,0
1.00289,23,1,148,1111,0,1,4,5,0
0.99919,32,2,147,1121,0,1,4,9,0
1.00048,99,4,142,1231,0,1,5,0,0
1.00048,11,3,152,1131,0,1,7,1,0
1.00062,23,1,148,1111,0,1,4,5,0
1.00042,32,2,147,1121,0,1,4,9,0
1.00022,99,4,142,1231,0,1,5,0,0
1.0004,11,3,152,1131,0,1,7,1,0
1.00024,23,1,148,1111,0,1,4,5,0
1.00029,32,2,148,1121,0,1,4,9,0
1.00054,99,4,142,1231,0,1,5,0,0
1.00062,11,3,152,1131,0,1,7,1,0
1.00054,23,1,148,1111,0,1,4,5,0
1.00044,32,2,148,1121,0,1,4,9,0
1.00046,99,4,143,1231,0,1,5,0,0
1.00015,11,3,152,1131,0,1,7,1,0
1.00038,23,1,148,1111,0,1,4,5,0
1.00041,32,2,148,1121,0,1,4,9,0
0.99997,99,4,143,1231,0,1,5,0,0
1.00063,11,3,152,1131,0,1,7,1,0
1.00043,23,1,148,1111,0,1,4,5,0
1.00042,32,2,148,1121,0,1,4,9,0
1.00057,99,4,143,1231,0,1,5,0,0
1.00082,11,3,152,1131,0,1,7,1,0
1.00044,23,1,148,1111,0,1,4,5,0
1.00089,32,2,148,1121,0,1,4,9,0
1.00038,99,4,143,1231,0,1,5,0,0
1.0003,11,3,152,1131,0,1,7,1,0
1.0014,23,1,148,1111,0,1,4,5,0
1.00086,32,2,148,1121,0,1,4,9,0
1.00026,99,4,143,1231,0,1,5,0,0
1.00087,11,3,152,1131,0,1,7,1,0
1.00041,23,1,148,1111,0,1,4,5,0
1.00027,32,2,148,1121,0,1,4,9,0
1.00039,99,4,143,1231,0,1,5,0,0
1.00045,11,3,152,1131,0,1,7,1,0
1.00134,23,1,148,1111,0,1,4,5,0
1.00048,32,2,148,1121,0,1,4,9,0
1.00056,99,4,143,1231,0,1,5,0,0
1.00033,11,3,152,1131,0,1,7,1,0
1.00044,23,1,148,1111,0,1,4,5,0
1.00109,32,2,148,1121,0,1,4,9,0
1.0005,99,4,143,1231,0,1,5,0,0
1.00055,11,3,152,1131,0,1,7,1,0
1.00044,23,1,148,1111,0,1,4,5,0
1.00037,32,2,148,1121,0,1,4,9,0
1.00055,99,4,143,1231,0,1,5,0,0
1.00089,11,3,152,1131,0,1,7,1,0
1.00094,23,1,148,1111,0,1,4,5,0
1.00083,32,2,148,1121,0,1,4,9,0
1.00041,99,4,143,1231,0,1,5,0,0
1.00041,11,3,152,1131,0,1,7,1,0
1.00035,23,1,148,1111,0,1,4,5,0
1.00049,32,2,148,1121,0,1,4,9,0
1.00038,99,4,143,1231,0,1,5,0,0
1.0003,11,3,152,1131,0,1,7,1,0
1.0005,23,1,148,1111,0,1,4,5,0
1.00087,32,2,148,1121,0,1,4,9,0
1.0009,99,4,143,1231,0,1,5,0,0
1.00047,11,3,152,1131,0,1,7,1,0
1.00042,23,1,148,1111,0,1,4,5,0
1.00057,32,2,148,1121,0,1,4,9,0
1.00044,99,4,143,1231,0,1,5,0,0
1.00023,11,3,152,1131,0,1,7,1,0
1.0004,23,1,148,1111,0,1,4,5,0
1.00053,32,2,148,1121,0,1,4,9,0
1.0003,99,4,143,1231,0,1,5,0,0
1.00061,11,3,152,1131,0,1,7,1,0
1.00032,23,1,148,1111,0,1,4,5,0
1.00013,32,2,148,1121,0,1,4,9,0
1.00052,99,4,143,1231,0,1,5,0,0
1.00022,11,3,152,1131,0,1,7,1,0
1.00039,23,1,148,1111,0,1,4,5,0
1.00036,32,2,148,1121,0,1,4,9,0
1.00035,99,4,143,1231,0,1,5,0,0
1.00024,11,3,152,1131,0,1,7,1,0
1.00094,23,1,148,1111,0,1,4,5,0
1.00107,32,2,148,1121,0,1,4,9,0
1.00037,99,4,143,1231,0,1,5,0,0
1.00073,11,3,152,1131,0,1,7,1,0
1.00085,23,1,148,1111,0,1,4,5,0
0.99978,32,2,148,1121,0,1,4,9,0
1.00023,99,4,143,1231,0,1,5,0,0
1.00028,11,3,152,1131,0,1,7,1,0
1.00074,23,1,148,1111,0,1,4,5,0
1.00077,32,2,148,1121,0,1,4,9,0
1.00045,99,4,143,1231,0,1,5,0,0
1.00031,11,3,152,1131,0,1,7,1,0
1.00047,23,1,148,1111,0,1,4,5,0
1.00079,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.00053,11,3,152,1131,0,1,7,1,0
1.00125,23,1,148,1111,0,1,4,5,0
1.00179,32,2,148,1121,0,1,4,9,0
1.0002,99,4,143,1231,0,1,5,0,0
1.00038,11,3,152,1131,0,1,7,1,0
1.0004,23,1,148,1111,0,1,4,5,0
0.99945,32,2,148,1121,0,1,4,9,0
1.00053,99,4,143,1231,0,1,5,0,0
1.00037,11,3,152,1131,0,1,7,1,0
1.00056,23,1,148,1111,0,1,4,5,0
1.00088,32,2,148,1121,0,1,4,9,0
1.00108,99,4,143,1231,0,1,5,0,0
1.00049,11,3,152,1131,0,1,7,1,0
1.00039,23,1,148,1111,0,1,4,5,0
1.00107,32,2,148,1121,0,1,4,9,0
1.00028,99,4,143,1231,0,1,5,0,0
1.00092,11,3,152,1131,0,1,7,1,0
1.00028,23,1,148,1111,0,1,4,5,0
1.00092,32,2,148,1121,0,1,4,9,0
1.00049,99,4,143,1231,0,1,5,0,0
1.00125,11,3,152,1131,0,1,7,1,0
1.00053,23,1,148,1111,0,1,4,5,0
1.0001,32,2,148,1121,0,1,4,9,0
1.00037,99,4,143,1231,0,1,5,0,0
0.99947,11,3,152,1131,0,1,7,1,0
1.00044,23,1,148,1111,0,1,4,5,0
1.00006,32,2,148,1121,0,1,4,9,0
1.00049,99,4,143,1231,0,1,5,0,0
1.00047,11,3,152,1131,0,1,7,1,0
1.00033,23,1,148,1111,0,1,4,5,0
1.0005,32,2,148,1121,0,1,4,9,0
1.00043,99,4,143,1231,0,1,5,0,0
1.00047,11,3,152,1131,0,1,7,1,0
1.00148,23,1,148,1111,0,1,4,5,0
1.00027,32,2,148,1121,0,1,4,9,0
1.00085,99,4,143,1231,0,1,5,0,0
1.00029,11,3,152,1131,0,1,7,1,0
1.00043,23,1,148,1111,0,1,4,5,0
1.00022,32,2,148,1121,0,1,4,9,0
1.00092,99,4,143,1231,0,1,5,0,0
1.00041,11,3,152,1131,0,1,7,1,0
1.0004,23,1,148,1111,0,1,4,5,0
1.00132,32,2,148,1121,0,1,4,9,0
1.00033,99,4,143,1231,0,1,5,0,0
1.00054,11,3,152,1131,0,1,7,1,0
1.00032,23,1,148,1111,0,1,4,5,0
1.00067,32,2,148,1121,0,1,4,9,0
1.00046,99,4,143,1231,0,1,5,0,0
1.00013,11,3,152,1131,0,1,7,1,0
1.0006,23,1,148,1111,0,1,4,5,0
1.00098,32,2,148,1121,0,1,4,9,0
1.00081,99,4,143,1231,0,1,5,0,0
1.00036,11,3,152,1131,0,1,7,1,0
1.00057,23,1,148,1111,0,1,4,5,0
1.00038,32,2,148,1121,0,1,4,9,0
1.00174,99,4,143,1231,0,1,5,0,0
1.00092,11,3,152,1131,0,1,7,1,0
1.00037,23,1,148,1111,0,1,4,5,0
1.00129,32,2,148,1121,0,1,4,9,0
1.00066,99,4,143,1231,0,1,5,0,0
1.00034,11,3,152,1131,0,1,7,1,0
1.00046,23,1,148,1111,0,1,4,5,0
0.99983,32,2,148,1121,0,1,4,9,0
1.00313,99,4,143,1231,0,1,5,0,0
1.00155,11,3,153,1131,0,1,7,1,0
1.0003,23,1,148,1111,0,1,4,5,0
1.00058,32,2,148,1121,0,1,4,9,0
1.00011,99,4,143,1231,0,1,5,0,0
1.00034,11,3,153,1131,0,1,7,1,0
1.00041,23,1,148,1111,0,1,4,5,0
1.0005,32,2,148,1121,0,1,4,9,0
1.0011,99,4,143,1231,0,1,5,0,0
1.00121,11,3,153,1131,0,1,7,1,0
1.00044,23,1,148,1111,0,1,4,5,0
1.00029,32,2,148,1121,0,1,4,9,0
1.0004,99,4,143,1231,0,1,5,0,0
1.00059,11,3,153,1131,0,1,7,1,0
1.00037,23,1,148,1111,0,1,4,5,0
1.00134,32,2,148,1121,0,1,4,9,0
1.00271,99,4,143,1231,0,1,5,0,0
1.00036,11,3,153,1131,0,1,7,1,0
1.00072,23,1,148,1111,0,1,4,5,0
1.00024,32,2,148,1121,0,1,4,9,0
1.00037,99,4,143,1231,0,1,5,0,0
1.0017,11,3,153,1131,0,1,7,1,0
1.00137,23,1,148,1111,0,1,4,5,0
1.00031,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.00031,11,3,153,1131,0,1,7,1,0
1.00043,23,1,148,1111,0,1,4,5,0
1.00024,32,2,148,1121,0,1,4,9,0
1.00045,99,4,143,1231,0,1,5,0,0
1.00046,11,3,153,1131,0,1,7,1,0
1.00047,23,1,148,1111,0,1,4,5,0
1.00059,32,2,148,1121,0,1,4,9,0
1.00088,99,4,143,1231,0,1,5,0,0
1.00088,11,3,153,1131,0,1,7,1,0
1.00085,23,1,148,1111,0,1,4,5,0
1.00055,32,2,148,1121,0,1,4,9,0
1.00012,99,4,143,1231,0,1,5,0,0
1.0006,11,3,153,1131,0,1,7,1,0
1.00124,23,1,148,1111,0,1,4,5,0
1.00158,32,2,148,1121,0,1,4,9,0
1.00028,99,4,143,1231,0,1,5,0,0
1.00027,11,3,153,1131,0,1,7,1,0
0.99949,23,1,148,1111,0,1,4,5,0
0.99957,32,2,148,1121,0,1,4,9,0
1.0003,99,4,143,1231,0,1,5,0,0
1.00043,11,3,153,1131,0,1,7,1,0
1.00057,23,1,148,1111,0,1,4,5,0
1.00043,32,2,148,1121,0,1,4,9,0
1.00032,99,4,143,1231,0,1,5,0,0
1.00348,11,3,153,1131,0,1,7,1,0
1.00031,23,1,148,1111,0,1,4,5,0
1.00091,32,2,148,1121,0,1,4,9,0
1.00042,99,4,143,1231,0,1,5,0,0
1.00062,11,3,153,1131,0,1,7,1,0
1.00073,23,1,148,1111,0,1,4,5,0
1.0004,32,2,148,1121,0,1,4,9,0
1.00041,99,4,143,1231,0,1,5,0,0
1.00034,11,3,153,1131,0,1,7,1,0
1.00047,23,1,148,1111,0,1,4,5,0
1.00013,32,2,148,1121,0,1,4,9,0
1.0005,99,4,143,1231,0,1,5,0,0
1.00046,11,3,153,1131,0,1,7,1,0
1.00037,23,1,148,1111,0,1,4,5,0
1.00056,32,2,148,1121,0,1,4,9,0
1.00029,99,4,143,1231,0,1,5,0,0
1.00013,11,3,153,1131,0,1,7,1,0
1.00058,23,1,148,1111,0,1,4,5,0
1.00117,32,2,148,1121,0,1,4,9,0
1.00049,99,4,143,1231,0,1,5,0,0
1.00046,11,3,153,1131,0,1,7,1,0
1.00028,23,1,148,1111,0,1,4,5,0
0.99964,32,2,148,1121,0,1,4,9,0
1.00027,99,4,143,1231,0,1,5,0,0
1.00055,11,3,153,1131,0,1,7,1,0
1.0012,23,1,148,1111,0,1,4,5,0
1.00042,32,2,148,1121,0,1,4,9,0
1.00049,99,4,143,1231,0,1,5,0,0
1.00038,11,3,153,1131,0,1,7,1,0
0.99941,23,1,148,1111,0,1,4,5,0
1.00036,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.0005,11,3,153,1131,0,1,7,1,0
1.00086,23,1,148,1111,0,1,4,5,0
1.00085,32,2,148,1121,0,1,4,9,0
1.00041,99,4,143,1231,0,1,5,0,0
1.00033,11,3,153,1131,0,1,7,1,0
1.00111,23,1,148,1111,0,1,4,5,0
1.00002,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.00025,11,3,153,1131,0,1,7,1,0
1.0009,23,1,148,1111,0,1,4,5,0
1.00044,32,2,148,1121,0,1,4,9,0
1.00026,99,4,143,1231,0,1,5,0,0
1.00054,11,3,153,1131,0,1,7,1,0
1.00083,23,1,148,1111,0,1,4,5,0
1.00103,32,2,148,1121,0,1,4,9,0
1.00058,99,4,143,1231,0,1,5,0,0
1.00107,11,3,153,1131,0,1,7,1,0
1.00054,23,1,148,1111,0,1,4,5,0
1.00042,32,2,148,1121,0,1,4,9,0
1.00106,99,4,143,1231,0,1,5,0,0
1.00042,11,3,153,1131,0,1,7,1,0
1.0009,23,1,148,1111,0,1,4,5,0
1.00036,32,2,148,1121,0,1,4,9,0
1.00033,99,4,143,1231,0,1,5,0,0
1.00037,11,3,153,1131,0,1,7,1,0
1.00107,23,1,148,1111,0,1,4,5,0
1.00328,32,2,148,1121,0,1,4,9,0
1.00043,99,4,143,1231,0,1,5,0,0
1.00034,11,3,153,1131,0,1,7,1,0
1.00073,23,1,148,1111,0,1,4,5,0
1.00045,32,2,148,1121,0,1,4,9,0
1.00044,99,4,143,1231,0,1,5,0,0
1.0008,11,3,153,1131,0,1,7,1,0
1.00034,23,1,148,1111,0,1,4,5,0
1.0005,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.00103,11,3,153,1131,0,1,7,1,0
1.00048,23,1,148,1111,0,1,4,5,0
1.00053,32,2,148,1121,0,1,4,9,0
1.00009,99,4,143,1231,0,1,5,0,0
1.0004,11,3,153,1131,0,1,7,1,0
1.00039,23,1,148,1111,0,1,4,5,0
1.00021,32,2,148,1121,0,1,4,9,0
1.00069,99,4,143,1231,0,1,5,0,0
1.00032,11,3,153,1131,0,1,7,1,0
1.00032,23,1,148,1111,0,1,4,5,0
1.00029,32,2,148,1121,0,1,4,9,0
1.00072,99,4,143,1231,0,1,5,0,0
1.0004,11,3,153,1131,0,1,7,1,0
1.00136,23,1,148,1111,0,1,4,5,0
1.00045,32,2,148,1121,0,1,4,9,0
1.00081,99,4,143,1231,0,1,5,0,0
1.00065,11,3,153,1131,0,1,7,1,0
1.00039,23,1,148,1111,0,1,4,5,0
1.00042,32,2,148,1121,0,1,4,9,0
1.00028,99,4,143,1231,0,1,5,0,0
1.00067,11,3,153,1131,0,1,7,1,0
1.00072,23,1,148,1111,0,1,4,5,0
1.001,32,2,148,1121,0,1,4,9,0
1.00074,99,4,143,1231,0,1,5,0,0
1.00025,11,3,153,1131,0,1,7,1,0
1.00001,23,1,148,1111,0,1,4,5,0
1.00111,32,2,148,1121,0,1,4,9,0
1.0008,99,4,143,1231,0,1,5,0,0
1.00048,11,3,153,1131,0,1,7,1,0
1.00048,23,1,148,1111,0,1,4,5,0
1.00112,32,2,148,1121,0,1,4,9,0
1.00017,99,4,143,1231,0,1,5,0,0
1.00054,11,3,153,1131,0,1,7,1,0
1.00046,23,1,148,1111,0,1,4,5,0
1.00128,32,2,148,1121,0,1,4,9,0
1.0003,99,4,143,1231,0,1,5,0,0
1.00066,11,3,153,1131,0,1,7,1,0
1.00037,23,1,148,1111,0,1,4,5,0
1.00039,32,2,148,1121,0,1,4,9,0
1.00036,99,4,143,1231,0,1,5,0,0
1.00064,11,3,153,1131,0,1,7,1,0
1.00052,23,1,148,1111,0,1,4,5,0
1.00037,32,2,148,1121,0,1,4,9,0
1.00037,99,4,143,1231,0,1,5,0,0
1.0004,11,3,153,1131,0,1,7,1,0
1.00027,23,1,148,1111,0,1,4,5,0
1.00035,32,2,148,1121,0,1,4,9,0
1.00049,99,4,143,1231,0,1,5,0,0
1.00029,11,3,153,1131,0,1,7,1,0
1.00047,23,1,148,1111,0,1,4,5,0
1.0005,32,2,148,1121,0,1,4,9,0
1.0004,99,4,143,1231,0,1,5,0,0
1.00046,11,3,153,1131,0,1,7,1,0
1.00032,23,1,148,1111,0,1,4,5,0
1.00032,32,2,148,1121,0,1,4,9,0
1.0012,99,4,143,1231,0,1,5,0,0
